,filename,path,category,num_faces,num_vertices,faces_type,axis_aligned_bounding_box,is_out,centroid
99.off,99.off,./normalized/99.off,normalized,13758,6881,triangles,[1.0199961  0.7243375  0.41384343],False,[-1.11688073e-16 -1.38687221e-17 -3.43268756e-16]
92.off,92.off,./normalized/92.off,normalized,11730,5867,triangles,[1.00768693 0.50127161 0.33302818],False,[-4.07440204e-17  2.28068824e-17  1.78976670e-16]
84.off,84.off,./normalized/84.off,normalized,13696,6850,triangles,[0.98957672 0.49602429 0.57404077],False,[ 4.51943057e-16 -1.12827059e-17 -2.63044113e-16]
189.off,189.off,./normalized/189.off,normalized,28164,14084,triangles,[1.00183639 0.90491626 0.69462341],False,[-3.53385126e-16 -1.10807737e-16  3.01136973e-17]
188.off,188.off,./normalized/188.off,normalized,17202,8603,triangles,[1.0096021  0.71197873 0.58227553],False,[ 3.48908439e-16 -7.18059288e-17 -3.48509376e-17]
195.off,195.off,./normalized/195.off,normalized,17044,8524,triangles,[1.01638078 0.42932959 0.33142681],False,[ 1.74141045e-17 -1.75639646e-18 -4.48663850e-17]
36.off,36.off,./normalized/36.off,normalized,18152,9076,triangles,[0.91943124 0.89736839 0.64493804],False,[6.44142269e-18 1.89649547e-16 3.49501306e-17]
24.off,24.off,./normalized/24.off,normalized,30492,15246,triangles,[1.00088624 0.75260144 0.7896525 ],False,[-4.66885734e-16  4.06438259e-17 -3.10783948e-16]
29.off,29.off,./normalized/29.off,normalized,30254,15127,triangles,[1.11732703 1.11611613 0.63671733],False,[-3.42788993e-16 -5.63485856e-16 -2.58586731e-18]
213.off,213.off,./normalized/213.off,normalized,7922,3963,triangles,[1.13344847 0.29564945 0.09374037],False,[3.04638864e-16 3.02476756e-16 3.52486941e-18]
208.off,208.off,./normalized/208.off,normalized,12204,6104,triangles,[0.9291995  1.03550414 0.10179861],False,[ 1.19270061e-17 -2.09273054e-16  2.29261581e-18]
215.off,215.off,./normalized/215.off,normalized,8922,4463,triangles,[1.03200714 0.38215115 0.09434701],False,[ 9.06323363e-16 -3.61145262e-16  6.71335655e-18]
113.off,113.off,./normalized/113.off,normalized,21500,10748,triangles,[1.11478586 0.62615769 0.62591848],False,[1.53023399e-16 1.64870603e-15 3.55914999e-16]
118.off,118.off,./normalized/118.off,normalized,18306,9153,triangles,[1.0904631  0.48555557 0.57079358],False,[-4.77647061e-16  1.87943427e-15  2.25088738e-16]
120.off,120.off,./normalized/120.off,normalized,20242,10121,triangles,[1.04488332 0.45441266 0.48181496],False,[-2.22839817e-15  4.33299586e-17 -1.70462612e-15]
363.off,363.off,./normalized/363.off,normalized,26864,13434,triangles,[0.99679354 0.36619647 0.3621671 ],False,[-2.60191980e-16  3.89684158e-17 -2.32831172e-16]
369.off,369.off,./normalized/369.off,normalized,27212,13606,triangles,[1.02902718 0.65728202 0.65957873],False,[ 1.07674399e-15 -2.32684824e-16 -7.94450973e-17]
362.off,362.off,./normalized/362.off,normalized,28952,14476,triangles,[1.00430225 0.51355836 0.51548454],False,[ 8.36417713e-16 -9.60841039e-17  7.08286192e-17]
43.off,43.off,./normalized/43.off,normalized,40944,20474,triangles,[1.05663072 0.76340026 0.19435234],False,[-1.02010788e-16 -2.61434474e-16  4.68148769e-19]
57.off,57.off,./normalized/57.off,normalized,14822,7413,triangles,[0.94933743 0.99871814 0.3023673 ],False,[ 3.68330343e-17  7.10972648e-17 -1.53372696e-16]
55.off,55.off,./normalized/55.off,normalized,34176,17090,triangles,[1.00047935 0.54416455 0.17936829],False,[-2.39800989e-18 -4.05565041e-16 -1.27712288e-17]
248.off,248.off,./normalized/248.off,normalized,23576,11790,triangles,[0.92762427 1.04232746 0.80015438],False,[ 2.80953132e-16  3.44196849e-16 -3.57368422e-16]
254.off,254.off,./normalized/254.off,normalized,7272,3638,triangles,[0.99999414 0.4765487  0.10462012],False,[ 1.14657007e-18 -1.26579558e-16 -1.56031208e-18]
250.off,250.off,./normalized/250.off,normalized,8556,4280,triangles,[1.00009598 0.70703733 0.09930236],False,[ 1.15231355e-16  2.01200059e-16 -8.26048093e-17]
392.off,392.off,./normalized/392.off,normalized,17232,8618,triangles,[1.00962927 0.55938235 0.34505721],False,[ 5.53430518e-16  5.89494422e-17 -3.39152619e-18]
390.off,390.off,./normalized/390.off,normalized,18474,9239,triangles,[1.07095449 0.52965014 0.29269384],False,[ 1.28404888e-17 -1.97341429e-16 -5.36815823e-17]
394.off,394.off,./normalized/394.off,normalized,18014,9009,triangles,[0.99095173 0.87085303 0.29436094],False,[3.94285113e-17 5.37682766e-17 2.98044467e-18]
144.off,144.off,./normalized/144.off,normalized,30160,15082,triangles,[1.00034954 0.81330833 0.22808949],False,[ 2.50975680e-17  1.47017738e-16 -6.49266837e-17]
150.off,150.off,./normalized/150.off,normalized,27154,13579,triangles,[1.01444365 0.82410594 0.82435617],False,[ 7.39278368e-17 -1.82595265e-16  1.48921181e-17]
151.off,151.off,./normalized/151.off,normalized,25388,12696,triangles,[1.01089496 1.00890169 0.44739852],False,[ 1.12486974e-15 -1.23411791e-16 -1.45931860e-16]
72.off,72.off,./normalized/72.off,normalized,10452,5228,triangles,[0.99999288 0.73160746 0.1803014 ],False,[-6.31872992e-18 -4.58788342e-17 -1.67604989e-16]
61.off,61.off,./normalized/61.off,normalized,10796,5400,triangles,[0.99999455 0.53772988 0.20782546],False,[ 9.30360219e-17 -9.88055256e-17  7.04881731e-17]
73.off,73.off,./normalized/73.off,normalized,10214,5109,triangles,[0.99973902 0.80837836 0.19098836],False,[ 1.39756291e-16 -6.81073057e-17  3.20004992e-17]
125.off,125.off,./normalized/125.off,normalized,16092,8048,triangles,[0.97079769 1.03527531 0.69750784],False,[ 3.68367847e-16 -4.00388446e-17 -5.39503089e-16]
129.off,129.off,./normalized/129.off,normalized,12284,6144,triangles,[0.91742154 0.79810054 0.38451275],False,[1.21957407e-16 2.19185691e-17 1.34354443e-16]
124.off,124.off,./normalized/124.off,normalized,37188,18596,triangles,[0.94258294 0.67602912 0.43834465],False,[7.48451365e-17 1.15098528e-16 1.53754233e-17]
317.off,317.off,./normalized/317.off,normalized,55448,27726,triangles,[0.99352664 0.72048962 0.58980269],False,[-1.51899847e-17 -8.85618538e-17  2.55968468e-16]
306.off,306.off,./normalized/306.off,normalized,53592,26798,triangles,[0.99784204 0.76808817 0.537988  ],False,[-5.15709895e-16 -1.97107429e-17 -1.07818844e-16]
303.off,303.off,./normalized/303.off,normalized,31028,15516,triangles,[1.11345359 0.81396165 0.50573246],False,[-1.85726894e-15 -5.00882049e-16  5.11610330e-17]
341.off,341.off,./normalized/341.off,normalized,19932,9968,triangles,[1.00013836 0.29965111 0.29948584],False,[ 1.92000042e-16 -3.05639357e-18  4.35090213e-19]
355.off,355.off,./normalized/355.off,normalized,29984,14994,triangles,[1.0000578  0.12472295 0.12485184],False,[ 2.51126418e-17 -2.37938205e-18 -2.44591741e-18]
347.off,347.off,./normalized/347.off,normalized,31452,15728,triangles,[1.00419436 0.37213551 0.37265213],False,[2.01260539e-16 9.22934441e-18 5.47079237e-18]
332.off,332.off,./normalized/332.off,normalized,29990,14997,triangles,[1.01042928 0.86406397 0.85315089],False,[1.56547167e-16 5.37481852e-17 2.98362431e-17]
329.off,329.off,./normalized/329.off,normalized,29994,14999,triangles,[1.0125252  0.94644931 0.94894847],False,[-2.93644729e-16 -7.19416856e-18  9.95234356e-17]
336.off,336.off,./normalized/336.off,normalized,31006,15505,triangles,[1.03700163 0.80856285 0.81865513],False,[-1.30523367e-17  2.14788261e-16 -6.40581455e-16]
19.off,19.off,./normalized/19.off,normalized,30950,15477,triangles,[1.00155229 0.56188145 0.19380644],False,[8.68622106e-16 4.11223912e-17 3.95354829e-17]
9.off,9.off,./normalized/9.off,normalized,31644,15824,triangles,[1.00154643 0.49295907 0.21245479],False,[-1.07231130e-16  7.52549863e-17 -4.28476892e-17]
6.off,6.off,./normalized/6.off,normalized,20192,10098,triangles,[1.00018282 0.28667375 0.22497026],False,[ 4.22161017e-17 -7.92563153e-17 -5.07752178e-17]
223.off,223.off,./normalized/223.off,normalized,13308,6656,triangles,[1.01440112 0.44586476 0.48437864],False,[ 2.04980148e-16 -3.12495877e-18  4.43794157e-17]
225.off,225.off,./normalized/225.off,normalized,12148,6076,triangles,[1.01462001 0.5158711  0.34427786],False,[-3.06997144e-16 -3.30517458e-16 -4.43546229e-18]
230.off,230.off,./normalized/230.off,normalized,15142,7573,triangles,[1.00290079 0.56629681 0.34992208],False,[1.38837069e-17 2.13160960e-17 1.60341376e-16]
294.off,294.off,./normalized/294.off,normalized,32998,16501,triangles,[1.03991105 0.38542547 0.36803109],False,[-2.93754345e-16 -3.92436715e-17 -9.81838370e-17]
283.off,283.off,./normalized/283.off,normalized,48964,24484,triangles,[1.0358166  0.46197577 0.3625341 ],False,[ 1.38292145e-16  3.04347895e-17 -1.69434243e-17]
291.off,291.off,./normalized/291.off,normalized,49226,24615,triangles,[1.01372086 0.47167406 0.46634772],False,[ 1.98307591e-16 -1.00348057e-17 -1.09043217e-17]
171.off,171.off,./normalized/171.off,normalized,29806,14905,triangles,[1.04228049 0.59848471 0.4880516 ],False,[3.46943153e-16 1.02791875e-17 5.20186291e-16]
179.off,179.off,./normalized/179.off,normalized,26644,13324,triangles,[1.03697156 0.77087862 0.53082924],False,[5.12259234e-17 2.31545086e-17 9.31649395e-16]
178.off,178.off,./normalized/178.off,normalized,24346,12175,triangles,[1.02867948 0.70747579 0.47812994],False,[-1.13389907e-16 -2.90275506e-17 -6.92070529e-16]
